product_id,Overall Rating,Description Word Count
SKU: #7373683,5,185
SKU: #7373683,5,185
SKU: #7771266,5,185
SKU: #7818639,3,185
7490059,3,185
SKU: #7572419,5,184
SKU: #7654311,5,184
SKU: #7654311,5,184
SKU: #7654311,5,184
7166071,5,184
7494944,5,184
SKU: #7792834,5,184
SKU: #7677561,5,184
SKU: #7504013,4,184
7290661,2,184
SKU: #7696427,1,184
SKU: #7696427,1,184
SKU: #7715573,5,183
SKU: #7715573,5,183
7655266,5,183
SKU: #7715573,5,183
SKU: #7715573,5,183
7567392,5,183
7397040,5,183
SKU: #7727594,4,183
SKU: #7570676,4,183
SKU: #7720226,3,183
7330262,2,183
7642029,5,182
7192722,5,182
SKU: #7877648,5,182
SKU: #7702074,5,182
SKU: #7660076,5,182
7277727,5,182
7522739,5,182
7522739,5,182
7244112,5,182
SKU: #7177301,4,182
7605033,4,182
SKU: #7720226,5,181
104730,5,181
104730,5,181
7655277,5,181
7330262,5,181
7166071,5,181
SKU: #7313845,5,181
SKU: #7622863,4,181
7335596,4,181
7630065,4,181
SKU: #7271198,3,181
SKU: #7719131,5,180
SKU: #7712751,5,180
SKU: #7712751,5,180
SKU: #7712751,5,180
SKU: #7416799,4,180
7655373,4,180
7675942,3,180
SKU: #7801699,5,179
SKU: #7299166,5,179
7490059,5,179
7582594,5,179
7616338,5,179
7277727,5,179
SKU: #7648111,4,179
SKU: #7528082,4,179
SKU: #7564522,3,179
SKU: #7626619,5,178
SKU: #7626619,5,178
7438340,5,178
7602504,5,178
7528130,5,178
7528130,5,178
7373683,5,178
SKU: #111544,5,177
SKU: #7423619,5,177
SKU: #7829952,5,177
SKU: #7423619,5,177
7294254,5,177
SKU: #7773554,4,177
7166039,1,177
SKU: #7434702,5,176
SKU: #118955,5,176
7330262,5,176
7592128,5,176
SKU: #124878,5,176
7294835,5,176
7616338,5,176
7397040,5,176
7520870,4,176
SKU: #7571411,4,176
SKU: #7605033,3,176
SKU: #7626180,3,176
SKU: #7801699,5,175
7655277,5,175
7443522,5,175
7655277,5,175
7423619,5,175
7490059,5,175
7334545,5,175
SKU: #7695581,4,175
7646638,3,175
SKU: #7177301,5,174
7192722,5,174
7330262,5,174
7335596,5,174
SKU: #7218836,5,174
7135562,5,174
SKU: #7751339,4,174
7166071,4,174
SKU: #7696123,3,174
SKU: #7434702,1,174
7423619,5,173
SKU: #7791410,5,173
118955,5,173
SKU: #7594511,5,173
SKU: #7244112,5,173
SKU: #7642010,5,173
SKU: #7170383,4,173
SKU: #7170383,4,173
7600107,3,173
7644648,1,173
SKU: #7423619,5,172
7528130,5,172
SKU: #7423619,5,172
SKU: #7680191,5,172
7443522,4,172
7630065,4,172
109117,4,172
SKU: #7844107,1,172
SKU: #7844107,1,172
SKU: #7844107,1,172
7166071,5,171
7600107,5,171
7600107,5,171
SKU: #7500483,5,171
109117,5,171
109117,5,171
SKU: #7720004,5,171
7630065,4,171
7704053,3,171
7439111,3,171
SKU: #7801699,5,170
SKU: #7796329,5,170
7244112,5,170
109117,5,170
SKU: #7130301,4,170
7762946,4,170
7762946,4,170
SKU: #7217113,3,170
SKU: #7371606,2,170
7376689,2,170
7561724,5,169
7202262,5,169
SKU: #7931232,5,169
SKU: #7931232,5,169
SKU: #7931232,5,169
7646638,5,169
SKU: #7931232,5,169
SKU: #7931232,5,169
SKU: #7429334,5,169
7443522,4,169
7443522,3,169
SKU: #7542607,5,168
SKU: #7542607,5,168
SKU: #7201307,5,168
SKU: #7658556,5,168
SKU: #7658556,5,168
SKU: #7747098,5,168
7648411,5,168
113595,5,168
113595,5,168
113595,5,168
7609984,5,168
7616338,4,168
7166071,3,168
SKU: #7600107,1,168
SKU: #7547806,5,167
SKU: #7792060,5,167
7626180,5,167
SKU: #7658306,5,167
7755792,5,167
7630065,5,167
7630065,5,167
7166039,5,167
7376689,5,167
7899457,4,167
SKU: #7625451,5,166
104730,5,166
7542747,5,166
SKU: #7629002,5,166
7600121,5,166
SKU: #7407694,5,166
7294254,5,166
7244112,5,166
7648411,4,166
SKU: #7797472,3,166
7605033,2,166
SKU: #7280540,5,165
7443522,5,165
SKU: #7686144,5,165
7270779,5,165
7294835,5,165
7744270,5,165
7630065,5,165
SKU: #7582598,4,165
SKU: #7218836,4,165
SKU: #7642010,4,165
7166039,2,165
7543121,1,165
SKU: #7743610,5,164
7201307,5,164
7335596,5,164
7179711,5,164
7656060,5,164
7630065,5,164
7630065,5,164
7460247,5,164
113595,5,164
7899457,4,164
7255074,3,164
SKU: #7655277,5,163
SKU: #7690528,5,163
7528130,5,163
7439111,5,163
7334545,5,163
7490059,5,163
7334545,5,163
7166071,5,163
SKU: #7755792,5,163
SKU: #7755792,5,163
7616338,5,163
7290661,5,163
SKU: #7277727,5,163
SKU: #7373683,4,163
SKU: #7373683,4,163
SKU: #7915854,5,162
SKU: #7915854,5,162
SKU: #7712751,5,162
7542747,5,162
7542747,5,162
SKU: #7712751,5,162
SKU: #7712751,5,162
7507121,5,162
7784869,5,162
7609984,5,162
7201307,4,162
SKU: #7784869,3,162
113595,3,162
7294254,3,162
SKU: #7804197,2,162
SKU: #7547806,2,162
SKU: #7804197,2,162
SKU: #7248734,1,162
SKU: #7528130,5,161
SKU: #7528130,5,161
7626619,5,161
7201307,5,161
7202262,5,161
7330262,5,161
7605033,5,161
7567392,5,161
7277727,5,161
7386618,4,161
SKU: #7788975,4,161
SKU: #7788975,4,161
SKU: #7788975,4,161
SKU: #7788975,4,161
7609984,3,161
SKU: #7792053,2,161
SKU: #7821573,5,160
7670146,5,160
7202262,5,160
SKU: #7869858,5,160
SKU: #7821573,5,160
7330262,5,160
SKU: #7661347,5,160
SKU: #7494944,5,160
113595,5,160
SKU: #7757016,5,160
7257607,5,160
7244112,5,160
7626619,4,160
104730,4,160
7626619,4,160
SKU: #7858511,2,160
SKU: #7755814,5,159
7632972,5,159
SKU: #7290661,5,159
7632972,5,159
SKU: #7687785,5,159
SKU: #7719295,5,159
7335596,4,159
SKU: #7755524,4,159
7219392,4,159
7609984,4,159
7654311,3,159
7490059,3,159
SKU: #7567001,2,159
SKU: #7797139,2,159
SKU: #7395638,1,159
104730,5,158
7504013,5,158
SKU: #7717708,5,158
SKU: #7687784,5,158
7630065,5,158
7277727,5,158
7244112,5,158
7218258,5,158
109117,5,158
SKU: #7553055,4,158
7183714,4,158
7609984,4,158
SKU: #7712751,5,157
SKU: #7650281,5,157
104730,5,157
SKU: #7712751,5,157
SKU: #7712751,5,157
7423619,5,157
7335596,5,157
7334545,5,157
7334545,5,157
7313845,5,157
109117,5,157
SKU: #7654778,4,157
SKU: #7654778,4,157
SKU: #7755885,4,157
SKU: #7543121,2,157
SKU: #7543121,2,157
SKU: #7582598,2,157
104730,1,157
SKU: #7562448,5,156
SKU: #7792015,5,156
SKU: #7562448,5,156
7330262,5,156
7166071,5,156
7294835,5,156
SKU: #7630065,5,156
7656060,5,156
SKU: #7386618,4,156
SKU: #7494944,4,156
SKU: #7180467,3,156
SKU: #7720120,2,156
104730,1,156
7201307,5,155
7192722,5,155
7504013,5,155
7702074,5,155
118955,5,155
7600121,5,155
SKU: #7686144,5,155
SKU: #7494944,5,155
SKU: #7757014,5,155
7606713,5,155
109117,5,155
SKU: #7720004,5,155
7655266,4,155
SKU: #7689104,4,155
SKU: #7299166,5,154
7626619,5,154
7201307,5,154
7192722,5,154
SKU: #7899457,5,154
SKU: #7686144,5,154
SKU: #7650437,5,154
7630065,5,154
7294254,5,154
109117,5,154
7543121,4,154
7192722,4,154
7463015,4,154
SKU: #7684817,4,154
SKU: #7494944,4,154
7784869,4,154
SKU: #7860523,3,154
7335596,3,154
7294835,2,154
7294835,2,154
SKU: #7771321,2,154
7289976,1,154
7280540,5,153
7542747,5,153
SKU: #7797583,5,153
SKU: #7645477,5,153
7749078,5,153
7644151,5,153
7192722,3,153
7202262,3,153
7201307,2,153
7201307,2,153
SKU: #7598936,2,153
7691095,2,153
SKU: #7650271,1,153
SKU: #101191,5,152
7201307,5,152
104730,5,152
7438340,5,152
7202262,5,152
7689104,5,152
7334545,5,152
SKU: #7595386,5,152
SKU: #7789916,5,152
7899457,5,152
7630065,5,152
7609888,5,152
SKU: #7610028,5,152
7244112,5,152
7149932,5,152
109117,5,152
109117,5,152
SKU: #7158517,5,152
7626619,4,152
7202262,4,152
7330262,4,152
7605033,4,152
7591476,4,152
7277727,4,152
SKU: #7547806,5,151
SKU: #7792015,5,151
7542747,5,151
7655279,5,151
7695089,5,151
7630065,5,151
7277727,5,151
SKU: #7777056,4,151
SKU: #7719051,4,151
7656060,4,151
7630065,4,151
7749227,1,151
7626619,5,150
104730,5,150
SKU: #7792053,5,150
7490059,5,150
7460247,5,150
SKU: #7549521,5,150
SKU: #7549521,5,150
SKU: #7549521,5,150
SKU: #7549521,5,150
SKU: #7218258,5,150
7655373,5,150
104730,4,150
7192722,4,150
7192722,4,150
SKU: #7577665,4,150
7535068,4,150
7626180,4,150
SKU: #7644648,2,150
SKU: #7756890,1,150
SKU: #7655279,5,149
7542747,5,149
SKU: #7463015,5,149
7490059,5,149
SKU: #7773617,5,149
7899457,5,149
113595,5,149
SKU: #7183659,5,149
SKU: #7678286,5,149
7313325,4,149
7294254,4,149
SKU: #7748321,3,149
7335596,3,149
7166071,3,149
7244112,3,149
7626619,5,148
SKU: #7673702,5,148
7202262,5,148
7330262,5,148
7535068,5,148
7334545,5,148
7656060,5,148
7616338,5,148
7687528,5,148
7294254,5,148
7277727,5,148
SKU: #7624026,5,148
SKU: #7443522,4,148
7545845,4,148
SKU: #7443522,4,148
SKU: #7443522,4,148
7630065,4,148
SKU: #7744245,3,148
SKU: #7639862,2,148
7397040,2,148
7439111,1,148
7248789,5,147
7248789,5,147
SKU: #7696628,5,147
7547806,5,147
SKU: #7616455,5,147
7899457,5,147
7294835,5,147
7290659,5,147
7257607,5,147
7244112,5,147
7522739,5,147
7644151,5,147
7642029,4,147
7655277,4,147
SKU: #7720120,4,147
SKU: #7632972,4,147
7522739,2,147
7460247,1,147
7335596,5,146
7696427,5,146
7166071,5,146
7183714,5,146
7294835,5,146
7373683,5,146
7630065,5,146
113595,5,146
113595,5,146
7294254,5,146
7609984,5,146
7609984,5,146
SKU: #7720004,5,146
SKU: #7720004,5,146
SKU: #7740464,4,146
104730,4,146
SKU: #7730968,4,146
SKU: #7730968,4,146
113595,4,146
SKU: #7689104,3,146
SKU: #7589954,3,146
7644151,3,146
7644151,3,146
7642029,1,146
SKU: #7818639,5,145
7248789,5,145
SKU: #7423093,5,145
7438923,5,145
7626619,5,145
SKU: #7504013,5,145
SKU: #7192722,5,145
SKU: #7381714,5,145
7616338,5,145
7616338,5,145
SKU: #7602404,5,145
SKU: #7829952,4,145
7166071,4,145
7166071,4,145
7610153,4,145
SKU: #7639858,4,145
104730,3,145
7755792,3,145
7545845,2,145
SKU: #7528130,5,144
SKU: #7528130,5,144
7626619,5,144
7334545,5,144
7334545,5,144
7630065,5,144
109117,5,144
7644151,5,144
7542747,4,144
SKU: #7769335,4,144
SKU: #7681939,4,144
7334545,4,144
SKU: #7542607,3,144
SKU: #7542607,3,144
SKU: #7804195,3,144
SKU: #7774965,3,144
SKU: #7774965,3,144
7522813,3,144
SKU: #7792057,5,143
7201307,5,143
7542747,5,143
SKU: #7792057,5,143
7528130,5,143
7439111,5,143
SKU: #118955,5,143
7346227,5,143
7553765,5,143
SKU: #7604459,5,143
SKU: #7734400,5,143
7463015,5,143
7463015,5,143
SKU: #7388112,5,143
7616338,5,143
7630065,5,143
7183757,5,143
SKU: #7763395,5,143
109117,5,143
7644151,5,143
SKU: #7676301,4,143
7553765,4,143
SKU: #7755823,4,143
SKU: #7755823,4,143
SKU: #7649956,1,143
SKU: #7504013,5,142
7443522,5,142
7330262,5,142
7467000,5,142
7416799,5,142
SKU: #7479547,5,142
7166071,5,142
